[orient_sd] processed cells
  - DHLx1_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - DHLx2_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - DHLx3_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - DLLx1_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - DLLx2_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - DLLx3_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - FAx1_ASAP7_75t_R: oriented=24, ambiguous=0, tg_skipped=0
  - HAxp5_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - HB1xp67_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - HB2xp67_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - HB3xp67_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - HB4xp67_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - INVx11_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVx13_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVx1_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVx2_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVx3_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVx4_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVx5_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVx6_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVx8_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVxp33_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - INVxp67_ASAP7_75t_R: oriented=2, ambiguous=0, tg_skipped=0
  - MAJIxp5_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - MAJx2_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - MAJx3_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - NAND2x1_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NAND2x1p5_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NAND2x2_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NAND2xp33_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NAND2xp5_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NAND2xp67_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NAND3x1_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - NAND3x2_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - NAND3xp33_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - NAND4xp25_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - NAND4xp75_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - NAND5xp2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - NOR2x1_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NOR2x1p5_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NOR2x2_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NOR2xp33_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NOR2xp67_ASAP7_75t_R: oriented=4, ambiguous=0, tg_skipped=0
  - NOR3x1_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - NOR3x2_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - NOR3xp33_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - NOR4xp25_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - NOR4xp75_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - NOR5xp2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - O2A1O1Ixp33_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - O2A1O1Ixp5_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OA211x2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - OA21x2_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - OA221x2_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - OA222x2_ASAP7_75t_R: oriented=14, ambiguous=0, tg_skipped=0
